League,FT_Score,Matches,Percentage
Argentina - Liga Profesional,1 - 0,37,15%
Argentina - Liga Profesional,1 - 1,35,15%
Argentina - Liga Profesional,0 - 0,34,14%
Argentina - Liga Profesional,2 - 0,24,10%
Argentina - Liga Profesional,0 - 1,22,9%
Argentina - Liga Profesional,2 - 1,17,7%
Argentina - Liga Profesional,1 - 2,13,5%
Argentina - Liga Profesional,0 - 2,11,5%
Argentina - Liga Profesional,3 - 0,9,4%
Argentina - Liga Profesional,0 - 3,6,2%
Argentina - Liga Profesional,3 - 1,5,2%
Argentina - Liga Profesional,4 - 0,5,2%
Argentina - Liga Profesional,3 - 2,4,2%
Argentina - Liga Profesional,2 - 2,4,2%
Argentina - Liga Profesional,4 - 1,4,2%
Argentina - Liga Profesional,1 - 3,3,1%
Argentina - Liga Profesional,3 - 3,2,1%
Argentina - Liga Profesional,2 - 3,2,1%
Argentina - Liga Profesional,0 - 5,1,0%
Argentina - Liga Profesional,5 - 0,1,0%
Argentina - Liga Profesional,1 - 4,1,0%
Argentina - Primera B,0 - 0,34,16%
Argentina - Primera B,1 - 1,32,15%
Argentina - Primera B,2 - 0,25,12%
Argentina - Primera B,0 - 1,21,10%
Argentina - Primera B,1 - 0,21,10%
Argentina - Primera B,1 - 2,15,7%
Argentina - Primera B,2 - 1,14,7%
Argentina - Primera B,0 - 2,12,6%
Argentina - Primera B,3 - 0,8,4%
Argentina - Primera B,2 - 2,5,2%
Argentina - Primera B,3 - 1,5,2%
Argentina - Primera B,1 - 3,3,1%
Argentina - Primera B,3 - 2,3,1%
Argentina - Primera B,0 - 3,2,1%
Argentina - Primera B,4 - 0,2,1%
Argentina - Primera B,5 - 2,1,0%
Argentina - Primera B,5 - 1,1,0%
Argentina - Primera B,5 - 0,1,0%
Argentina - Primera B,1 - 4,1,0%
Argentina - Primera B,3 - 3,1,0%
Argentina - Primera B,2 - 3,1,0%
Argentina - Primera B,4 - 2,1,0%
Argentina - Primera B,4 - 1,1,0%
Armenia - Premier League,0 - 1,3,20%
Armenia - Premier League,0 - 0,3,20%
Armenia - Premier League,0 - 2,2,13%
Armenia - Premier League,1 - 1,2,13%
Armenia - Premier League,1 - 2,1,7%
Armenia - Premier League,2 - 1,1,7%
Armenia - Premier League,4 - 0,1,7%
Armenia - Premier League,3 - 0,1,7%
Armenia - Premier League,1 - 0,1,7%
Australia - A-League,2 - 2,16,9%
Australia - A-League,1 - 1,15,9%
Australia - A-League,1 - 2,13,8%
Australia - A-League,1 - 0,13,8%
Australia - A-League,0 - 1,11,7%
Australia - A-League,1 - 3,9,5%
Australia - A-League,0 - 2,9,5%
Australia - A-League,2 - 0,9,5%
Australia - A-League,2 - 3,8,5%
Australia - A-League,2 - 1,8,5%
Australia - A-League,0 - 0,8,5%
Australia - A-League,4 - 1,7,4%
Australia - A-League,3 - 0,6,4%
Australia - A-League,3 - 4,4,2%
Australia - A-League,0 - 4,4,2%
Australia - A-League,3 - 2,4,2%
Australia - A-League,3 - 1,4,2%
Australia - A-League,3 - 3,3,2%
Australia - A-League,4 - 2,3,2%
Australia - A-League,6 - 1,2,1%
Australia - A-League,4 - 4,2,1%
Australia - A-League,1 - 4,2,1%
Australia - A-League,0 - 3,2,1%
Australia - A-League,2 - 6,1,1%
Australia - A-League,6 - 0,1,1%
Australia - A-League,4 - 5,1,1%
Australia - A-League,1 - 5,1,1%
Australia - A-League,0 - 5,1,1%
Australia - A-League,5 - 3,1,1%
Australia - A-League,5 - 1,1,1%
Austria - Bundesliga,0 - 2,4,17%
Austria - Bundesliga,1 - 2,3,13%
Austria - Bundesliga,1 - 3,2,9%
Austria - Bundesliga,2 - 2,2,9%
Austria - Bundesliga,1 - 1,2,9%
Austria - Bundesliga,3 - 0,2,9%
Austria - Bundesliga,1 - 0,2,9%
Austria - Bundesliga,5 - 0,1,4%
Austria - Bundesliga,4 - 2,1,4%
Austria - Bundesliga,3 - 1,1,4%
Austria - Bundesliga,2 - 1,1,4%
Austria - Bundesliga,0 - 1,1,4%
Austria - Bundesliga,0 - 0,1,4%
Austria - 2. Liga,1 - 1,4,12%
Austria - 2. Liga,1 - 2,3,9%
Austria - 2. Liga,0 - 2,3,9%
Austria - 2. Liga,1 - 0,3,9%
Austria - 2. Liga,4 - 2,2,6%
Austria - 2. Liga,2 - 2,2,6%
Austria - 2. Liga,2 - 1,2,6%
Austria - 2. Liga,2 - 0,2,6%
Austria - 2. Liga,0 - 0,2,6%
Austria - 2. Liga,4 - 4,1,3%
Austria - 2. Liga,1 - 4,1,3%
Austria - 2. Liga,0 - 4,1,3%
Austria - 2. Liga,3 - 3,1,3%
Austria - 2. Liga,2 - 3,1,3%
Austria - 2. Liga,0 - 3,1,3%
Austria - 2. Liga,3 - 1,1,3%
Austria - 2. Liga,0 - 1,1,3%
Austria - 2. Liga,3 - 0,1,3%
Belgium - First Division A,1 - 1,7,19%
Belgium - First Division A,2 - 1,5,14%
Belgium - First Division A,0 - 2,4,11%
Belgium - First Division A,3 - 1,3,8%
Belgium - First Division A,0 - 1,3,8%
Belgium - First Division A,2 - 3,2,5%
Belgium - First Division A,2 - 0,2,5%
Belgium - First Division A,1 - 0,2,5%
Belgium - First Division A,0 - 0,2,5%
Belgium - First Division A,5 - 2,1,3%
Belgium - First Division A,5 - 0,1,3%
Belgium - First Division A,0 - 3,1,3%
Belgium - First Division A,2 - 2,1,3%
Belgium - First Division A,1 - 2,1,3%
Belgium - First Division A,4 - 1,1,3%
Belgium - First Division A,3 - 0,1,3%
Bolivia - Primera Div. - Apertura,1 - 1,19,13%
Bolivia - Primera Div. - Apertura,2 - 1,13,9%
Bolivia - Primera Div. - Apertura,3 - 1,10,7%
Bolivia - Primera Div. - Apertura,2 - 0,10,7%
Bolivia - Primera Div. - Apertura,1 - 2,9,6%
Bolivia - Primera Div. - Apertura,5 - 1,8,6%
Bolivia - Primera Div. - Apertura,2 - 2,8,6%
Bolivia - Primera Div. - Apertura,1 - 0,7,5%
Bolivia - Primera Div. - Apertura,0 - 0,7,5%
Bolivia - Primera Div. - Apertura,3 - 2,6,4%
Bolivia - Primera Div. - Apertura,0 - 2,6,4%
Bolivia - Primera Div. - Apertura,0 - 1,6,4%
Bolivia - Primera Div. - Apertura,5 - 2,3,2%
Bolivia - Primera Div. - Apertura,5 - 0,3,2%
Bolivia - Primera Div. - Apertura,other scores,3,2%
Bolivia - Primera Div. - Apertura,4 - 2,3,2%
Bolivia - Primera Div. - Apertura,4 - 1,3,2%
Bolivia - Primera Div. - Apertura,4 - 0,3,2%
Bolivia - Primera Div. - Apertura,3 - 0,3,2%
Bolivia - Primera Div. - Apertura,2 - 4,2,1%
Bolivia - Primera Div. - Apertura,3 - 3,2,1%
Bolivia - Primera Div. - Apertura,1 - 3,2,1%
Bolivia - Primera Div. - Apertura,0 - 3,2,1%
Bolivia - Primera Div. - Apertura,6 - 3,1,1%
Bolivia - Primera Div. - Apertura,6 - 0,1,1%
Bolivia - Primera Div. - Apertura,3 - 4,1,1%
Bolivia - Primera Div. - Apertura,0 - 4,1,1%
Bolivia - Primera Div. - Apertura,2 - 3,1,1%
Brazil - Serie A,2 - 1,26,13%
Brazil - Serie A,1 - 0,25,13%
Brazil - Serie A,1 - 1,24,12%
Brazil - Serie A,0 - 0,17,9%
Brazil - Serie A,2 - 0,16,8%
Brazil - Serie A,0 - 1,15,8%
Brazil - Serie A,1 - 2,13,7%
Brazil - Serie A,2 - 2,12,6%
Brazil - Serie A,0 - 2,12,6%
Brazil - Serie A,3 - 0,7,4%
Brazil - Serie A,1 - 3,5,3%
Brazil - Serie A,3 - 1,5,3%
Brazil - Serie A,3 - 2,4,2%
Brazil - Serie A,4 - 0,3,2%
Brazil - Serie A,5 - 0,2,1%
Brazil - Serie A,2 - 3,2,1%
Brazil - Serie A,4 - 2,2,1%
Brazil - Serie A,4 - 1,2,1%
Brazil - Serie A,0 - 6,1,1%
Brazil - Serie A,6 - 0,1,1%
Brazil - Serie A,0 - 5,1,1%
Brazil - Serie A,other scores,1,1%
Brazil - Serie A,0 - 4,1,1%
Brazil - Serie A,3 - 3,1,1%
Brazil - Serie A,0 - 3,1,1%
Brazil - Serie B,1 - 0,38,17%
Brazil - Serie B,1 - 1,36,16%
Brazil - Serie B,2 - 1,26,11%
Brazil - Serie B,2 - 0,23,10%
Brazil - Serie B,0 - 0,21,9%
Brazil - Serie B,0 - 1,20,9%
Brazil - Serie B,1 - 2,19,8%
Brazil - Serie B,2 - 2,11,5%
Brazil - Serie B,0 - 2,6,3%
Brazil - Serie B,3 - 1,6,3%
Brazil - Serie B,3 - 0,5,2%
Brazil - Serie B,4 - 0,4,2%
Brazil - Serie B,4 - 2,3,1%
Brazil - Serie B,3 - 2,3,1%
Brazil - Serie B,1 - 3,2,1%
Brazil - Serie B,0 - 3,2,1%
Brazil - Serie B,2 - 5,1,0%
Brazil - Serie B,5 - 0,1,0%
Brazil - Serie B,1 - 4,1,0%
Brazil - Serie B,0 - 4,1,0%
Brazil - Serie B,2 - 3,1,0%
Brazil - Serie C,1 - 0,31,17%
Brazil - Serie C,1 - 1,27,15%
Brazil - Serie C,0 - 0,27,15%
Brazil - Serie C,2 - 1,20,11%
Brazil - Serie C,2 - 0,14,8%
Brazil - Serie C,0 - 1,12,7%
Brazil - Serie C,1 - 2,8,4%
Brazil - Serie C,0 - 2,8,4%
Brazil - Serie C,2 - 3,5,3%
Brazil - Serie C,3 - 2,5,3%
Brazil - Serie C,3 - 1,4,2%
Brazil - Serie C,0 - 3,3,2%
Brazil - Serie C,2 - 2,3,2%
Brazil - Serie C,3 - 0,3,2%
Brazil - Serie C,0 - 4,2,1%
Brazil - Serie C,3 - 3,2,1%
Brazil - Serie C,1 - 3,2,1%
Brazil - Serie C,3 - 4,1,1%
Brazil - Serie C,1 - 4,1,1%
Brazil - Serie C,4 - 2,1,1%
Brazil - Serie C,4 - 1,1,1%
Bulgaria - Parva Liga,2 - 1,9,20%
Bulgaria - Parva Liga,1 - 1,8,18%
Bulgaria - Parva Liga,0 - 0,7,16%
Bulgaria - Parva Liga,0 - 1,3,7%
Bulgaria - Parva Liga,2 - 0,3,7%
Bulgaria - Parva Liga,1 - 0,3,7%
Bulgaria - Parva Liga,5 - 0,2,4%
Bulgaria - Parva Liga,1 - 2,2,4%
Bulgaria - Parva Liga,0 - 5,1,2%
Bulgaria - Parva Liga,2 - 3,1,2%
Bulgaria - Parva Liga,1 - 3,1,2%
Bulgaria - Parva Liga,0 - 3,1,2%
Bulgaria - Parva Liga,2 - 2,1,2%
Bulgaria - Parva Liga,0 - 2,1,2%
Bulgaria - Parva Liga,4 - 0,1,2%
Bulgaria - Parva Liga,3 - 0,1,2%
Canada - Premier League,2 - 2,7,9%
Canada - Premier League,1 - 2,7,9%
Canada - Premier League,0 - 0,7,9%
Canada - Premier League,0 - 2,6,8%
Canada - Premier League,2 - 1,6,8%
Canada - Premier League,1 - 1,6,8%
Canada - Premier League,2 - 0,6,8%
Canada - Premier League,0 - 1,5,6%
Canada - Premier League,1 - 3,4,5%
Canada - Premier League,3 - 1,4,5%
Canada - Premier League,1 - 0,4,5%
Canada - Premier League,3 - 2,3,4%
Canada - Premier League,4 - 0,3,4%
Canada - Premier League,0 - 5,1,1%
Canada - Premier League,5 - 4,1,1%
Canada - Premier League,5 - 2,1,1%
Canada - Premier League,5 - 1,1,1%
Canada - Premier League,5 - 0,1,1%
Canada - Premier League,4 - 4,1,1%
Canada - Premier League,1 - 4,1,1%
Canada - Premier League,2 - 3,1,1%
Canada - Premier League,0 - 3,1,1%
Canada - Premier League,4 - 1,1,1%
Canada - Premier League,3 - 0,1,1%
Chile - Liga de Primera,1 - 0,24,15%
Chile - Liga de Primera,1 - 1,21,13%
Chile - Liga de Primera,2 - 1,18,11%
Chile - Liga de Primera,0 - 1,15,9%
Chile - Liga de Primera,2 - 0,13,8%
Chile - Liga de Primera,2 - 2,12,7%
Chile - Liga de Primera,3 - 1,9,5%
Chile - Liga de Primera,0 - 0,8,5%
Chile - Liga de Primera,1 - 2,6,4%
Chile - Liga de Primera,0 - 2,6,4%
Chile - Liga de Primera,4 - 0,5,3%
Chile - Liga de Primera,1 - 3,4,2%
Chile - Liga de Primera,0 - 3,4,2%
Chile - Liga de Primera,4 - 1,4,2%
Chile - Liga de Primera,2 - 3,3,2%
Chile - Liga de Primera,6 - 0,2,1%
Chile - Liga de Primera,0 - 4,2,1%
Chile - Liga de Primera,3 - 0,2,1%
Chile - Liga de Primera,5 - 1,1,1%
Chile - Liga de Primera,5 - 0,1,1%
Chile - Liga de Primera,2 - 4,1,1%
Chile - Liga de Primera,1 - 4,1,1%
Chile - Liga de Primera,4 - 3,1,1%
Chile - Liga de Primera,3 - 3,1,1%
Chile - Liga de Primera,4 - 2,1,1%
Chile - Liga de Ascenso,0 - 0,23,13%
Chile - Liga de Ascenso,1 - 1,20,11%
Chile - Liga de Ascenso,0 - 1,20,11%
Chile - Liga de Ascenso,1 - 0,18,10%
Chile - Liga de Ascenso,2 - 1,17,10%
Chile - Liga de Ascenso,1 - 2,14,8%
Chile - Liga de Ascenso,3 - 0,12,7%
Chile - Liga de Ascenso,2 - 2,10,6%
Chile - Liga de Ascenso,2 - 0,8,5%
Chile - Liga de Ascenso,0 - 2,7,4%
Chile - Liga de Ascenso,2 - 3,6,3%
Chile - Liga de Ascenso,0 - 3,3,2%
Chile - Liga de Ascenso,4 - 1,3,2%
Chile - Liga de Ascenso,5 - 1,2,1%
Chile - Liga de Ascenso,1 - 3,2,1%
Chile - Liga de Ascenso,3 - 2,2,1%
Chile - Liga de Ascenso,3 - 1,2,1%
Chile - Liga de Ascenso,5 - 3,1,1%
Chile - Liga de Ascenso,5 - 0,1,1%
Chile - Liga de Ascenso,3 - 4,1,1%
Chile - Liga de Ascenso,1 - 4,1,1%
Chile - Liga de Ascenso,3 - 3,1,1%
Chile - Liga de Ascenso,4 - 2,1,1%
Chile - Liga de Ascenso,4 - 0,1,1%
China - Super League,1 - 1,17,10%
China - Super League,2 - 0,16,9%
China - Super League,1 - 0,15,8%
China - Super League,2 - 2,14,8%
China - Super League,2 - 1,14,8%
China - Super League,3 - 1,13,7%
China - Super League,1 - 2,12,7%
China - Super League,1 - 3,10,6%
China - Super League,3 - 2,8,5%
China - Super League,0 - 0,8,5%
China - Super League,0 - 2,6,3%
China - Super League,3 - 0,6,3%
China - Super League,0 - 1,5,3%
China - Super League,4 - 0,5,3%
China - Super League,3 - 4,4,2%
China - Super League,0 - 4,3,2%
China - Super League,0 - 3,3,2%
China - Super League,4 - 1,3,2%
China - Super League,1 - 5,2,1%
China - Super League,4 - 4,2,1%
China - Super League,2 - 4,2,1%
China - Super League,2 - 3,2,1%
China - Super League,4 - 2,2,1%
China - Super League,6 - 1,1,1%
China - Super League,5 - 1,1,1%
China - Super League,5 - 0,1,1%
China - Super League,1 - 4,1,1%
China - Super League,3 - 3,1,1%
China - League One,2 - 1,23,14%
China - League One,1 - 1,22,13%
China - League One,0 - 0,15,9%
China - League One,0 - 1,14,8%
China - League One,2 - 0,14,8%
China - League One,1 - 0,13,8%
China - League One,0 - 2,10,6%
China - League One,3 - 1,9,5%
China - League One,2 - 2,7,4%
China - League One,3 - 2,5,3%
China - League One,1 - 2,5,3%
China - League One,1 - 3,4,2%
China - League One,3 - 0,4,2%
China - League One,2 - 4,3,2%
China - League One,0 - 3,3,2%
China - League One,4 - 0,3,2%
China - League One,3 - 3,2,1%
China - League One,2 - 3,2,1%
China - League One,1 - 5,1,1%
China - League One,5 - 0,1,1%
China - League One,other scores,1,1%
China - League One,3 - 4,1,1%
China - League One,1 - 4,1,1%
China - League One,0 - 4,1,1%
China - League One,4 - 3,1,1%
China - League One,4 - 2,1,1%
China - League Two,1 - 1,36,13%
China - League Two,1 - 0,32,12%
China - League Two,2 - 0,30,11%
China - League Two,0 - 0,29,11%
China - League Two,0 - 1,27,10%
China - League Two,1 - 2,18,7%
China - League Two,2 - 1,18,7%
China - League Two,0 - 2,17,6%
China - League Two,2 - 2,12,4%
China - League Two,1 - 3,9,3%
China - League Two,3 - 0,9,3%
China - League Two,0 - 3,7,3%
China - League Two,2 - 3,4,1%
China - League Two,4 - 1,4,1%
China - League Two,5 - 0,3,1%
China - League Two,3 - 2,3,1%
China - League Two,5 - 1,2,1%
China - League Two,other scores,2,1%
China - League Two,1 - 4,2,1%
China - League Two,0 - 4,2,1%
China - League Two,4 - 2,2,1%
China - League Two,3 - 1,2,1%
China - League Two,0 - 5,1,0%
China - League Two,4 - 4,1,0%
China - League Two,3 - 4,1,0%
China - League Two,2 - 4,1,0%
Colombia - Primera A - Apertura,0 - 0,28,14%
Colombia - Primera A - Apertura,1 - 0,26,13%
Colombia - Primera A - Apertura,2 - 1,22,11%
Colombia - Primera A - Apertura,2 - 0,22,11%
Colombia - Primera A - Apertura,1 - 1,21,10%
Colombia - Primera A - Apertura,0 - 1,19,10%
Colombia - Primera A - Apertura,3 - 0,10,5%
Colombia - Primera A - Apertura,1 - 2,9,4%
Colombia - Primera A - Apertura,0 - 2,8,4%
Colombia - Primera A - Apertura,2 - 2,7,4%
Colombia - Primera A - Apertura,3 - 1,6,3%
Colombia - Primera A - Apertura,4 - 0,3,2%
Colombia - Primera A - Apertura,1 - 4,2,1%
Colombia - Primera A - Apertura,4 - 3,2,1%
Colombia - Primera A - Apertura,3 - 3,2,1%
Colombia - Primera A - Apertura,2 - 3,2,1%
Colombia - Primera A - Apertura,1 - 3,2,1%
Colombia - Primera A - Apertura,3 - 2,2,1%
Colombia - Primera A - Apertura,6 - 1,1,0%
Colombia - Primera A - Apertura,1 - 5,1,0%
Colombia - Primera A - Apertura,other scores,1,0%
Colombia - Primera A - Apertura,0 - 4,1,0%
Colombia - Primera A - Apertura,0 - 3,1,0%
Colombia - Primera A - Apertura,4 - 2,1,0%
Colombia - Primera A - Apertura,4 - 1,1,0%
Colombia - Primera B - Apertura,1 - 1,17,13%
Colombia - Primera B - Apertura,2 - 0,16,12%
Colombia - Primera B - Apertura,1 - 0,15,12%
Colombia - Primera B - Apertura,1 - 2,13,10%
Colombia - Primera B - Apertura,0 - 1,11,9%
Colombia - Primera B - Apertura,0 - 0,11,9%
Colombia - Primera B - Apertura,2 - 1,7,5%
Colombia - Primera B - Apertura,2 - 2,6,5%
Colombia - Primera B - Apertura,3 - 0,6,5%
Colombia - Primera B - Apertura,2 - 3,4,3%
Colombia - Primera B - Apertura,0 - 2,4,3%
Colombia - Primera B - Apertura,4 - 1,3,2%
Colombia - Primera B - Apertura,3 - 1,3,2%
Colombia - Primera B - Apertura,1 - 3,2,2%
Colombia - Primera B - Apertura,0 - 3,2,2%
Colombia - Primera B - Apertura,4 - 2,2,2%
Colombia - Primera B - Apertura,3 - 2,2,2%
Colombia - Primera B - Apertura,5 - 2,1,1%
Colombia - Primera B - Apertura,5 - 0,1,1%
Colombia - Primera B - Apertura,3 - 4,1,1%
Colombia - Primera B - Apertura,4 - 0,1,1%
Costa Rica - Primera Div. - Apertura,2 - 2,3,12%
Costa Rica - Primera Div. - Apertura,0 - 1,3,12%
Costa Rica - Primera Div. - Apertura,0 - 0,3,12%
Costa Rica - Primera Div. - Apertura,1 - 2,2,8%
Costa Rica - Primera Div. - Apertura,2 - 1,2,8%
Costa Rica - Primera Div. - Apertura,4 - 0,2,8%
Costa Rica - Primera Div. - Apertura,1 - 0,2,8%
Costa Rica - Primera Div. - Apertura,2 - 3,1,4%
Costa Rica - Primera Div. - Apertura,0 - 3,1,4%
Costa Rica - Primera Div. - Apertura,3 - 2,1,4%
Costa Rica - Primera Div. - Apertura,0 - 2,1,4%
Costa Rica - Primera Div. - Apertura,1 - 1,1,4%
Costa Rica - Primera Div. - Apertura,3 - 0,1,4%
Costa Rica - Primera Div. - Apertura,2 - 0,1,4%
Costa Rica - Primera Div. - Clausura,1 - 1,23,17%
Costa Rica - Primera Div. - Clausura,0 - 1,18,14%
Costa Rica - Primera Div. - Clausura,2 - 1,15,11%
Costa Rica - Primera Div. - Clausura,1 - 0,15,11%
Costa Rica - Primera Div. - Clausura,0 - 0,12,9%
Costa Rica - Primera Div. - Clausura,3 - 0,9,7%
Costa Rica - Primera Div. - Clausura,1 - 2,7,5%
Costa Rica - Primera Div. - Clausura,2 - 0,7,5%
Costa Rica - Primera Div. - Clausura,0 - 3,4,3%
Costa Rica - Primera Div. - Clausura,2 - 3,3,2%
Costa Rica - Primera Div. - Clausura,2 - 2,3,2%
Costa Rica - Primera Div. - Clausura,0 - 2,3,2%
Costa Rica - Primera Div. - Clausura,3 - 1,3,2%
Costa Rica - Primera Div. - Clausura,1 - 3,2,2%
Costa Rica - Primera Div. - Clausura,6 - 3,1,1%
Costa Rica - Primera Div. - Clausura,1 - 5,1,1%
Costa Rica - Primera Div. - Clausura,5 - 0,1,1%
Costa Rica - Primera Div. - Clausura,2 - 4,1,1%
Costa Rica - Primera Div. - Clausura,1 - 4,1,1%
Costa Rica - Primera Div. - Clausura,3 - 3,1,1%
Costa Rica - Primera Div. - Clausura,4 - 1,1,1%
Costa Rica - Primera Div. - Clausura,4 - 0,1,1%
Croatia - 1. HNL,0 - 2,3,15%
Croatia - 1. HNL,3 - 0,3,15%
Croatia - 1. HNL,2 - 2,2,10%
Croatia - 1. HNL,1 - 2,2,10%
Croatia - 1. HNL,1 - 1,2,10%
Croatia - 1. HNL,2 - 0,2,10%
Croatia - 1. HNL,0 - 0,2,10%
Croatia - 1. HNL,1 - 3,1,5%
Croatia - 1. HNL,3 - 1,1,5%
Croatia - 1. HNL,2 - 1,1,5%
Croatia - 1. HNL,1 - 0,1,5%
Croatia - 1. NL,1 - 1,3,25%
Croatia - 1. NL,2 - 0,2,17%
Croatia - 1. NL,0 - 0,2,17%
Croatia - 1. NL,0 - 4,1,8%
Croatia - 1. NL,0 - 3,1,8%
Croatia - 1. NL,3 - 2,1,8%
Croatia - 1. NL,4 - 1,1,8%
Croatia - 1. NL,4 - 0,1,8%
CzechRepublic - 1. Liga,1 - 1,7,16%
CzechRepublic - 1. Liga,0 - 1,5,11%
CzechRepublic - 1. Liga,2 - 0,5,11%
CzechRepublic - 1. Liga,1 - 0,5,11%
CzechRepublic - 1. Liga,3 - 2,4,9%
CzechRepublic - 1. Liga,2 - 1,4,9%
CzechRepublic - 1. Liga,1 - 2,3,7%
CzechRepublic - 1. Liga,1 - 3,2,4%
CzechRepublic - 1. Liga,0 - 2,2,4%
CzechRepublic - 1. Liga,3 - 0,2,4%
CzechRepublic - 1. Liga,1 - 5,1,2%
CzechRepublic - 1. Liga,0 - 5,1,2%
CzechRepublic - 1. Liga,3 - 3,1,2%
CzechRepublic - 1. Liga,2 - 2,1,2%
CzechRepublic - 1. Liga,3 - 1,1,2%
CzechRepublic - 1. Liga,0 - 0,1,2%
CzechRepublic - FNL,2 - 1,7,13%
CzechRepublic - FNL,1 - 2,6,11%
CzechRepublic - FNL,0 - 1,5,9%
CzechRepublic - FNL,1 - 0,5,9%
CzechRepublic - FNL,2 - 2,4,8%
CzechRepublic - FNL,2 - 3,3,6%
CzechRepublic - FNL,3 - 1,3,6%
CzechRepublic - FNL,3 - 0,3,6%
CzechRepublic - FNL,0 - 0,3,6%
CzechRepublic - FNL,5 - 0,2,4%
CzechRepublic - FNL,0 - 3,2,4%
CzechRepublic - FNL,3 - 2,2,4%
CzechRepublic - FNL,0 - 2,2,4%
CzechRepublic - FNL,2 - 0,2,4%
CzechRepublic - FNL,6 - 1,1,2%
CzechRepublic - FNL,other scores,1,2%
CzechRepublic - FNL,4 - 1,1,2%
CzechRepublic - FNL,1 - 1,1,2%
Denmark - Superligaen,0 - 2,5,14%
Denmark - Superligaen,1 - 0,5,14%
Denmark - Superligaen,2 - 3,4,11%
Denmark - Superligaen,3 - 2,3,8%
Denmark - Superligaen,1 - 1,3,8%
Denmark - Superligaen,3 - 3,2,6%
Denmark - Superligaen,4 - 2,2,6%
Denmark - Superligaen,2 - 0,2,6%
Denmark - Superligaen,6 - 2,1,3%
Denmark - Superligaen,1 - 5,1,3%
Denmark - Superligaen,1 - 3,1,3%
Denmark - Superligaen,1 - 2,1,3%
Denmark - Superligaen,3 - 1,1,3%
Denmark - Superligaen,2 - 1,1,3%
Denmark - Superligaen,0 - 1,1,3%
Denmark - Superligaen,4 - 0,1,3%
Denmark - Superligaen,3 - 0,1,3%
Denmark - Superligaen,0 - 0,1,3%
Denmark - 1st Division,0 - 2,6,14%
Denmark - 1st Division,2 - 2,5,12%
Denmark - 1st Division,2 - 1,4,10%
Denmark - 1st Division,0 - 1,4,10%
Denmark - 1st Division,2 - 0,4,10%
Denmark - 1st Division,0 - 0,4,10%
Denmark - 1st Division,1 - 2,3,7%
Denmark - 1st Division,3 - 1,3,7%
Denmark - 1st Division,1 - 1,3,7%
Denmark - 1st Division,1 - 0,2,5%
Denmark - 1st Division,1 - 5,1,2%
Denmark - 1st Division,1 - 4,1,2%
Denmark - 1st Division,2 - 3,1,2%
Denmark - 1st Division,4 - 0,1,2%
Denmark - 2nd Division,1 - 2,5,22%
Denmark - 2nd Division,2 - 1,3,13%
Denmark - 2nd Division,2 - 0,3,13%
Denmark - 2nd Division,1 - 0,3,13%
Denmark - 2nd Division,2 - 2,2,9%
Denmark - 2nd Division,5 - 0,1,4%
Denmark - 2nd Division,0 - 4,1,4%
Denmark - 2nd Division,2 - 3,1,4%
Denmark - 2nd Division,1 - 3,1,4%
Denmark - 2nd Division,1 - 1,1,4%
Denmark - 2nd Division,4 - 0,1,4%
Denmark - 2nd Division,0 - 0,1,4%
Ecuador - Liga Pro,1 - 1,34,16%
Ecuador - Liga Pro,0 - 1,26,12%
Ecuador - Liga Pro,1 - 0,22,11%
Ecuador - Liga Pro,2 - 0,20,10%
Ecuador - Liga Pro,2 - 1,18,9%
Ecuador - Liga Pro,1 - 2,15,7%
Ecuador - Liga Pro,0 - 0,12,6%
Ecuador - Liga Pro,2 - 2,10,5%
Ecuador - Liga Pro,3 - 1,10,5%
Ecuador - Liga Pro,1 - 3,5,2%
Ecuador - Liga Pro,0 - 3,4,2%
Ecuador - Liga Pro,3 - 2,4,2%
Ecuador - Liga Pro,4 - 1,4,2%
Ecuador - Liga Pro,1 - 4,3,1%
Ecuador - Liga Pro,0 - 4,3,1%
Ecuador - Liga Pro,3 - 0,3,1%
Ecuador - Liga Pro,4 - 3,2,1%
Ecuador - Liga Pro,3 - 3,2,1%
Ecuador - Liga Pro,2 - 3,2,1%
Ecuador - Liga Pro,4 - 0,2,1%
Ecuador - Liga Pro,6 - 2,1,0%
Ecuador - Liga Pro,2 - 5,1,0%
Ecuador - Liga Pro,0 - 5,1,0%
Ecuador - Liga Pro,5 - 0,1,0%
Ecuador - Liga Pro,2 - 4,1,0%
Ecuador - Liga Pro,4 - 2,1,0%
Ecuador - Liga Pro,0 - 2,1,0%
Ecuador - Serie B,1 - 0,22,16%
Ecuador - Serie B,1 - 1,19,14%
Ecuador - Serie B,0 - 0,15,11%
Ecuador - Serie B,0 - 1,12,9%
Ecuador - Serie B,2 - 0,12,9%
Ecuador - Serie B,2 - 1,10,7%
Ecuador - Serie B,3 - 2,7,5%
Ecuador - Serie B,1 - 2,7,5%
Ecuador - Serie B,2 - 2,6,4%
Ecuador - Serie B,3 - 0,6,4%
Ecuador - Serie B,4 - 0,5,4%
Ecuador - Serie B,0 - 2,4,3%
Ecuador - Serie B,1 - 3,2,1%
Ecuador - Serie B,4 - 1,2,1%
Ecuador - Serie B,3 - 1,2,1%
Ecuador - Serie B,6 - 0,1,1%
Ecuador - Serie B,other scores,1,1%
Ecuador - Serie B,3 - 3,1,1%
England - Premier League,1 - 1,3,15%
England - Premier League,1 - 0,3,15%
England - Premier League,3 - 0,2,10%
